Nr   Verb    Uri                                                                         Return     Description
151  PUT     /V1/customers/{email}/activate                                              mixed      Activate a customer account using a key that was sent in a confirmation email.
152  PUT     /V1/customers/{id}                                                          mixed      Create customer.
153  GET     /V1/directory/countries                                                     array      Get all countries and regions information for the store.
154  GET     /V1/directory/countries/{countryId}                                         mixed      Get country and region information for the store.
155  GET     /V1/directory/currency                                                      mixed      Get currency information for the store.
156  POST    /V1/eav/attribute-sets                                                      mixed      Create attribute set from data.
157  GET     /V1/eav/attribute-sets/list                                                 mixed      Retrieve list of Attribute Sets.
158  GET     /V1/eav/attribute-sets/{attributeSetId}                                     mixed      Retrieve attribute set information based on given ID.
159  DELETE  /V1/eav/attribute-sets/{attributeSetId}                                     boolean    Remove attribute set by given ID.
160  PUT     /V1/eav/attribute-sets/{attributeSetId}                                     mixed      Update attribute set data.
161  POST    /V1/guest-carts                                                             string     Enable an customer or guest user to create an empty cart and quote for an anonymous customer.
162  GET     /V1/guest-carts/{cartId}                                                    mixed      Enable a guest user to return information for a specified cart.
163  PUT     /V1/guest-carts/{cartId}                                                    boolean    Assign a specified customer to a specified shopping cart.
164  GET     /V1/guest-carts/{cartId}/billing-address                                    mixed      Return the billing address for a specified quote.
165  POST    /V1/guest-carts/{cartId}/billing-address                                    integer    Assign a specified billing address to a specified cart.
166  PUT     /V1/guest-carts/{cartId}/collect-totals                                     mixed      Set shipping/billing methods and additional data for cart and collect totals for guest.
167  GET     /V1/guest-carts/{cartId}/coupons                                            string     Return information for a coupon in a specified cart.
168  DELETE  /V1/guest-carts/{cartId}/coupons                                            boolean    Delete a coupon from a specified cart.
169  PUT     /V1/guest-carts/{cartId}/coupons/{couponCode}                               boolean    Add a coupon by code to a specified cart.
170  POST    /V1/guest-carts/{cartId}/estimate-shipping-methods                          array      Estimate shipping.
171  GET     /V1/guest-carts/{cartId}/gift-message                                       mixed      Return the gift message for a specified order.
172  POST    /V1/guest-carts/{cartId}/gift-message                                       boolean    Set the gift message for an entire order.
173  GET     /V1/guest-carts/{cartId}/gift-message/{itemId}                              mixed      Return the gift message for a specified item in a specified shopping cart.
174  POST    /V1/guest-carts/{cartId}/gift-message/{itemId}                              boolean    Set the gift message for a specified item in a specified shopping cart.
175  GET     /V1/guest-carts/{cartId}/items                                              array      List items that are assigned to a specified cart.
176  POST    /V1/guest-carts/{cartId}/items                                              mixed      Add the specified item to the specified cart.
177  PUT     /V1/guest-carts/{cartId}/items/{itemId}                                     mixed      Add the specified item to the specified cart.
178  DELETE  /V1/guest-carts/{cartId}/items/{itemId}                                     boolean    Remove the specified item from the specified cart.
179  PUT     /V1/guest-carts/{cartId}/order                                              integer    Place an order for a specified cart.
180  POST    /V1/guest-carts/{cartId}/payment-information                                integer    Set payment information and place order for a specified cart.
181  GET     /V1/guest-carts/{cartId}/payment-information                                mixed      Get payment information.
182  GET     /V1/guest-carts/{cartId}/payment-methods                                    array      List available payment methods for a specified shopping cart.
183  GET     /V1/guest-carts/{cartId}/selected-payment-method                            mixed      Return the payment method for a specified shopping cart.
184  PUT     /V1/guest-carts/{cartId}/selected-payment-method                            integer    Add a specified payment method to a specified shopping cart.
185  POST    /V1/guest-carts/{cartId}/set-payment-information                            integer    Set payment information for a specified cart.
186  POST    /V1/guest-carts/{cartId}/shipping-information                               mixed      No description yet.
187  GET     /V1/guest-carts/{cartId}/shipping-methods                                   array      List applicable shipping methods for a specified quote.
188  GET     /V1/guest-carts/{cartId}/totals                                             mixed      Return quote totals data for a specified cart.
189  POST    /V1/guest-carts/{cartId}/totals-information                                 mixed      Calculate quote totals based on address and shipping method.
190  POST    /V1/integration/admin/token                                                 string     Create access token for admin given the admin credentials.
191  POST    /V1/integration/customer/token                                              string     Create access token for admin given the customer credentials.
192  GET     /V1/invoices                                                                mixed      Lists invoices that match specified search criteria.
193  POST    /V1/invoices/                                                               mixed      Performs persist operations for a specified invoice.
194  POST    /V1/invoices/comments                                                       mixed      Performs persist operations for a specified invoice comment.
195  GET     /V1/invoices/{id}                                                           mixed      Loads a specified invoice.
196  POST    /V1/invoices/{id}/capture                                                   string     Sets invoice capture.
197  GET     /V1/invoices/{id}/comments                                                  mixed      Lists comments for a specified invoice.
198  POST    /V1/invoices/{id}/emails                                                    boolean    Emails a user a specified invoice.
199  POST    /V1/invoices/{id}/void                                                      boolean    Voids a specified invoice.
200  GET     /V1/modules                                                                 array      Returns an array of enabled modules.
201  GET     /V1/orders                                                                  mixed      Lists orders that match specified search criteria.
202  GET     /V1/orders/items                                                            mixed      Lists order items that match specified search criteria.
203  GET     /V1/orders/items/{id}                                                       mixed      Loads a specified order item.
204  GET     /V1/orders/{id}                                                             mixed      Loads a specified order.
205  POST    /V1/orders/{id}/cancel                                                      boolean    Cancels a specified order.
206  POST    /V1/orders/{id}/comments                                                    boolean    Adds a comment to a specified order.
207  GET     /V1/orders/{id}/comments                                                    mixed      Lists comments for a specified order.
208  POST    /V1/orders/{id}/emails                                                      boolean    Emails a user a specified order.
209  POST    /V1/orders/{id}/hold                                                        boolean    Holds a specified order.
210  GET     /V1/orders/{id}/statuses                                                    string     Gets the status for a specified order.
211  POST    /V1/orders/{id}/unhold                                                      boolean    Releases a specified order from hold status.
212  PUT     /V1/orders/{parent_id}                                                      mixed      Performs persist operations for a specified order address.
213  POST    /V1/products                                                                mixed      Create product.
214  GET     /V1/products                                                                mixed      Get product list.
215  POST    /V1/products/attribute-sets                                                 mixed      Create attribute set from data.
216  POST    /V1/products/attribute-sets/attributes                                      integer    Assign attribute to attribute set.
217  POST    /V1/products/attribute-sets/groups                                          mixed      Save attribute group.
218  GET     /V1/products/attribute-sets/groups/list                                     mixed      Retrieve list of attribute groups.
219  DELETE  /V1/products/attribute-sets/groups/{groupId}                                boolean    Remove attribute group by id.
220  GET     /V1/products/attribute-sets/sets/list                                       mixed      Retrieve list of Attribute Sets.
221  GET     /V1/products/attribute-sets/{attributeSetId}                                mixed      Retrieve attribute set information based on given ID.
222  DELETE  /V1/products/attribute-sets/{attributeSetId}                                boolean    Remove attribute set by given ID.
223  PUT     /V1/products/attribute-sets/{attributeSetId}                                mixed      Update attribute set data.
224  GET     /V1/products/attribute-sets/{attributeSetId}/attributes                     array      Retrieve related attributes based on given attribute set ID.
225  DELETE  /V1/products/attribute-sets/{attributeSetId}/attributes/{attributeCode}     boolean    Remove attribute from attribute set.
226  PUT     /V1/products/attribute-sets/{attributeSetId}/groups                         mixed      Update attribute group.
227  GET     /V1/products/attributes                                                     mixed      Retrieve all attributes for entity type.
228  POST    /V1/products/attributes                                                     mixed      Save attribute data.
229  GET     /V1/products/attributes/types                                               array      Retrieve list of product attribute types.
230  GET     /V1/products/attributes/{attributeCode}                                     mixed      Retrieve specific attribute.
231  PUT     /V1/products/attributes/{attributeCode}                                     mixed      Update attribute data.
232  DELETE  /V1/products/attributes/{attributeCode}                                     boolean    Delete Attribute by id.
233  GET     /V1/products/attributes/{attributeCode}/options                             array      Retrieve list of attribute options.
234  POST    /V1/products/attributes/{attributeCode}/options                             boolean    Add option to attribute.
235  DELETE  /V1/products/attributes/{attributeCode}/options/{optionId}                  boolean    Delete option from attribute.
236  DELETE  /V1/products/downloadable-links/samples/{id}                                boolean    Delete downloadable sample.
237  DELETE  /V1/products/downloadable-links/{id}                                        boolean    Delete downloadable link.
238  GET     /V1/products/links/types                                                    array      Retrieve information about available product link types.
239  GET     /V1/products/links/{type}/attributes                                        array      Provide a list of the product link type attributes.
240  GET     /V1/products/media/types/{attributeSetName}                                 array      Retrieve the list of media attributes (fronted input type is media_image) assigned to the given attribute set.
241  POST    /V1/products/options                                                        mixed      Save custom option.
242  GET     /V1/products/options/types                                                  array      Get custom option types.
243  PUT     /V1/products/options/{optionId}                                             mixed      Update custom option.
244  GET     /V1/products/types                                                          array      Retrieve available product types.
245  PUT     /V1/products/{productSku}/stockItems/{itemId}                               integer    No description yet.
246  PUT     /V1/products/{sku}                                                          mixed      Create product.
247  DELETE  /V1/products/{sku}                                                          boolean    No description yet.
248  GET     /V1/products/{sku}                                                          mixed      Get info about product by product SKU.
249  GET     /V1/products/{sku}/downloadable-links                                       array      List of links with associated samples.
250  POST    /V1/products/{sku}/downloadable-links                                       integer    Update downloadable link of the given product (link type and its resources cannot be changed).
251  GET     /V1/products/{sku}/downloadable-links/samples                               array      List of samples for downloadable product.
252  POST    /V1/products/{sku}/downloadable-links/samples                               integer    Update downloadable sample of the given product.
253  PUT     /V1/products/{sku}/downloadable-links/samples/{id}                          integer    Update downloadable sample of the given product.
254  PUT     /V1/products/{sku}/downloadable-links/{id}                                  integer    Update downloadable link of the given product (link type and its resources cannot be changed).
255  GET     /V1/products/{sku}/group-prices/{customerGroupId}/tiers                     array      Get tier price of product.
256  DELETE  /V1/products/{sku}/group-prices/{customerGroupId}/tiers/{qty}               boolean    Remove tier price from product.
257  POST    /V1/products/{sku}/group-prices/{customerGroupId}/tiers/{qty}/price/{price} boolean    Create tier price for product.
258  POST    /V1/products/{sku}/links                                                    boolean    Assign a product link to another product.
259  PUT     /V1/products/{sku}/links                                                    boolean    Update product link.
260  GET     /V1/products/{sku}/links/{type}                                             array      Provide the list of links for a specific product.
261  DELETE  /V1/products/{sku}/links/{type}/{linkedProductSku}                          boolean    No description yet.
262  POST    /V1/products/{sku}/media                                                    integer    Create new gallery entry.
263  GET     /V1/products/{sku}/media                                                    array      Retrieve the list of gallery entries associated with given product.
264  GET     /V1/products/{sku}/media/{entryId}                                          mixed      Return information about gallery entry.
265  PUT     /V1/products/{sku}/media/{entryId}                                          boolean    Update gallery entry.
266  DELETE  /V1/products/{sku}/media/{entryId}                                          boolean    Remove gallery entry.
267  GET     /V1/products/{sku}/options                                                  array      Get the list of custom options for a specific product.
268  GET     /V1/products/{sku}/options/{optionId}                                       mixed      Get custom option for a specific product.
269  DELETE  /V1/products/{sku}/options/{optionId}                                       boolean    No description yet.
270  POST    /V1/products/{sku}/websites                                                 boolean    Assign a product to the website.
271  PUT     /V1/products/{sku}/websites                                                 boolean    Assign a product to the website.
272  DELETE  /V1/products/{sku}/websites/{websiteId}                                     boolean    Remove the website assignment from the product by product sku.
273  POST    /V1/salesRules                                                              mixed      Save sales rule.
274  GET     /V1/salesRules/search                                                       mixed      Retrieve sales rules.
275  GET     /V1/salesRules/{ruleId}                                                     mixed      Get rule by ID.
276  PUT     /V1/salesRules/{ruleId}                                                     mixed      Update sales rule.
277  DELETE  /V1/salesRules/{ruleId}                                                     boolean    Delete rule by ID.
278  GET     /V1/search                                                                  mixed      Make Full Text Search and return found Documents.
279  POST    /V1/shipment/                                                               mixed      Performs persist operations for a specified shipment.
280  POST    /V1/shipment/track                                                          mixed      Performs persist operations for a specified shipment track.
281  DELETE  /V1/shipment/track/{id}                                                     boolean    Deletes a specified shipment track by ID.
282  GET     /V1/shipment/{id}                                                           mixed      Loads a specified shipment.
283  GET     /V1/shipment/{id}/comments                                                  mixed      Lists comments for a specified shipment.
284  POST    /V1/shipment/{id}/comments                                                  mixed      Performs persist operations for a specified shipment comment.
285  POST    /V1/shipment/{id}/emails                                                    boolean    Emails user a specified shipment.
286  GET     /V1/shipment/{id}/label                                                     string     Gets a specified shipment label.
287  GET     /V1/shipments                                                               mixed      Lists shipments that match specified search criteria.
288  GET     /V1/stockItems/lowStock/                                                    mixed      Retrieves a list of SKU's with low inventory qty.
289  GET     /V1/stockItems/{productSku}                                                 mixed      No description yet.
290  GET     /V1/stockStatuses/{productSku}                                              mixed      No description yet.
291  GET     /V1/store/storeConfigs                                                      array      No description yet.
292  GET     /V1/store/storeGroups                                                       array      Retrieve list of all groups.
293  GET     /V1/store/storeViews                                                        array      Retrieve list of all stores.
294  GET     /V1/store/websites                                                          array      Retrieve list of all websites.
295  POST    /V1/taxClasses                                                              string     Create a Tax Class.
296  GET     /V1/taxClasses/search                                                       mixed      Retrieve tax classes which match a specific criteria.
297  PUT     /V1/taxClasses/{classId}                                                    string     Create a Tax Class.
298  GET     /V1/taxClasses/{taxClassId}                                                 mixed      Get a tax class with the given tax class id.
299  DELETE  /V1/taxClasses/{taxClassId}                                                 boolean    Delete a tax class with the given tax class id.
300  POST    /V1/taxRates                                                                mixed      Create or update tax rate.
301  PUT     /V1/taxRates                                                                mixed      Create or update tax rate.
302  GET     /V1/taxRates/search                                                         mixed      Search TaxRates.
303  GET     /V1/taxRates/{rateId}                                                       mixed      Get tax rate.
304  DELETE  /V1/taxRates/{rateId}                                                       boolean    Delete tax rate.
305  POST    /V1/taxRules                                                                mixed      Save TaxRule.
306  PUT     /V1/taxRules                                                                mixed      Update TaxRule.
307  GET     /V1/taxRules/search                                                         mixed      Search TaxRules.
308  DELETE  /V1/taxRules/{ruleId}                                                       boolean    Delete TaxRule.
309  GET     /V1/taxRules/{ruleId}                                                       mixed      Get TaxRule.
310  GET     /V1/transactions                                                            mixed      Lists transactions that match specified search criteria.
311  GET     /V1/transactions/{id}                                                       mixed      Loads a specified transaction.
